STEP	B.A.	B+15	M.A.	M+15	M+30	M+45	M+60	D
1	50841	52684	54652	56760	58869	61001	61901	62798
2	53030	55084	57095	59134	61420	63315	64524	65735
3	55673	57474	59743	61876	64419	66048	67330	68615
4	58316	60117	62602	64734	67938	68976	70325	71670
5	61087	62803	65701	67762	70325	72050	73259	74470
6	64024	65738	68976	70824	73462	75111	76494	77877
7	67053	68818	72425	74143	76916	78553	79894	81234
8	71598	73837	75820	77552	80233	81913	83294	84675
9	73038	75321	78922	80570	83085	85102	86608	88116
10	75835	78206	81540	83631	86194	88374	90079	91783
11			88636	90772	93495	96042	97678	99312
12			90420	92597	95375	97972	99639	101306
13			92229	94448	97283	99932	101632	103332
14			95762	98066	101010	103759	105525	107289
